Number,Number Sum,Stop Count,Number per Stop,Number per Stop per Hours,Node IDs
1,0,0,0,0,
2,1429,4,357.25,19.84722222,"0084, 0112, 0134, 0133, 0081, 0105, 0096, 0064, 0054"
3,2875,3,958.3333333,53.24074074,"0292, 0276, 0323, 0285, 0311, 0308, 0253, 0307, 0287, 0251, 0252, 0316, 0246, 0320, 0301, 0325, 0267, 0284, 0317, 0314, 0318, 0313, 0300, 0255, 0273, 0291, 0329, 0244, 0305, 0332, 0304"
4,165,1,165,9.166666667,"0335,"
5,0,0,0,0,
6,0,0,0,0,
7,0,0,0,0,
8,0,0,0,0,
9,0,0,0,0,
10,869,4,217.25,12.06944444,"0044, 0029, 0026, 0049, 0019, 0009, 0035, 0052, 0018, 0001, 0043, 0002, 0006"
11,2311,6,385.1666667,21.39814815,"0165, 0107, 0069, 0164, 0104, 0065, 0170, 0193, 0179, 0190, 0175, 0186, 0055, 0122, 0070, 0083, 0080, 0062, 0172, 0085, 0093, 0108, 0173, 0167, 0072, 0061, 0077, 0076, 0053, 0166, 0180, 0130, 0068, 0089, 0106, 0143, 0129, 0086, 0057, 0073, 0155, 0063, 0121, 0082, 0169, 0079, 0161, 0182, 0159, 0058, 0183, 0067, 0075, 0056, 0060, 0136, 0197"
12,298,1,298,16.55555556,"0238, 0324, 0209, 0280, 0200, 0281, 0319, 0221, 0248, 0231"
13,5905,5,1181,65.61111111,"0364, 0352, 0442, 0381, 0366, 0373, 0388, 0377, 0362, 0420, 0374, 0351, 0368, 0400, 0356, 0421, 0438, 0360, 0372, 0392, 0443, 0387, 0433, 0344, 0369"
14,581,6,96.83333333,5.379629629,"0666, 0583, 0597, 0688, 0645, 0596, 0603, 0496, 0640, 0560, 0582, 0643, 0581, 0627, 0553, 0447, 0647, 0638, 0600, 0654, 0477, 0636, 0546, 0451, 0639, 0676"
15,1832,4,458,25.44444444,"0771, 0707, 0748, 0770, 0717, 0758, 0817, 0747, 0780, 0723, 0765, 0804, 0726, 0760, 0730, 0722, 0781, 0744, 0818, 0711"
16,445,7,63.57142857,3.531746032,"0893, 0838, 0848, 0850"
17,0,0,0,0,
18,0,0,0,0,
19,1028,4,257,14.27777778,"0036, 0033, 0005, 0025, 0034, 0046, 0023, 0031, 0039"
20,2303,8,287.875,15.99305556,"0102, 0178, 0163, 0187, 0194, 0181, 0125, 0195, 0092, 0153, 0095, 0059, 0151, 0171, 0078, 0192, 0111, 0135, 0150, 0160, 0116, 0127, 0118, 0184, 0126, 0152, 0196, 0103, 0168, 0100, 0120, 0119, 0101, 0123, 0185, 0147, 0157, 0176, 0140, 0142, 0110, 0117, 0131, 0148, 0139, 0091, 0177, 0158, 0189, 0087, 0191, 0132, 0124, 0156, 0149, 0088, 0154, 0174, 0128, 0188, 0109, 0138, 0141, 0162"
21,15770,10,1577,87.61111111,"0258, 0210, 0261, 0245, 0215, 0303, 0230, 0286, 0239, 0198, 0222, 0205, 0315, 0214, 0288, 0203, 0297, 0299, 0290, 0268, 0294, 0241, 0263, 0218, 0199, 0207, 0235, 0242, 0322, 0202, 0234, 0208"
22,1219,6,203.1666667,11.28703704,"0431, 0402, 0409, 0348, 0393, 0365, 0418, 0440, 0384, 0376, 0340, 0391, 0397, 0403, 0386, 0363, 0355"
